1	Toy story	1995	102338	7.4
2	Jumanji	1995	44587	6.4
3	Grumpy Old Men	1993	10489	6.4
4	Waiting to Exhale	1995	5666	6.6
5	Father of the Bride Part II	1995	13761	6.0
6	Heat	1995	42785	7.8
7	Sabrina	1954	12812	7.6
10	GoldenEye	1995	28260	6.8
11	The American President	1995	8320	6.4
12	Dracula: Dead and Loving It	1995	10078	5.6
13	Balto	1995	9195	6.4
16	Casino	1995	66463	7.8
17	Sense and Sensibility	1995	32782	7.6
18	Four Rooms	1995	14266	7.0
19	Ace Ventura: When Nature Calls	1995	87306	6.4
20	Money Train	1995	5263	5.4
21	Get Shorty	1995	10155	6.4
22	Copycat	1995	5628	6.2
23	Ninja Assassin	2009	107023	6.8
24	Powder	1995	6650	6.2
25	Leaving Las Vegas	1995	12742	7.2
27	Now and Then	1995	17168	7.0
28	Persuasion	1995	7968	7.8
31	Dangerous Minds	1995	12136	6.2
34	Babe	1995	22954	6.0
36	Dead Man Walking	1995	15450	7.2
38	It Takes Two	1995	16311	5.8
44	Mortal Kombat	1995	18291	5.6
45	Live Free or Die Hard	2007	1145097	7.8
47	Shichinin no samurai	1954	29509	9.0
48	Pocahontas	1995	37858	6.4
50	The Usual Suspects	1995	109588	8.4
55	Georgia Rule	2007	64056	6.0
58	Il postino	1994	5794	8.2
60	The Indian in the Cupboard	1995	5127	5.4
62	Mr. Holland's Opus	1995	9569	7.0
65	Bio-Dome	1996	8972	5.2
70	From Dusk Till Dawn	1996	36073	6.8
72	Kicking & Screaming	2005	14260	6.0
88	Black Sheep	2006	19454	6.4
89	Nick of Time	1995	10563	6.2
93	Vampire in Brooklyn	1995	6122	4.8
95	Broken Arrow	1996	12489	5.8
97	La haine	1995	11987	8.6
101	Bottle Rocket	1996	16217	7.4
104	Happy Gilmore	1996	114875	7.4
105	The Bridges of Madison County	1995	11573	7.2
107	Muppet Treasure Island	1996	8588	6.4
110	Braveheart	1995	204275	7.6
111	Taxi Driver	1976	58145	8.2
112	Hung fan kui	1995	7517	6.2
123	Chung Hing sam lam	1994	11068	8.4
137	Man of the Year	2006	29127	6.0
141	The Birdcage	1996	13502	6.6
145	Bad Boys	1995	67658	7.0
147	The Basketball Diaries	1995	12119	7.0
149	The Moguls	2005	8865	6.0
150	Apollo 13	1995	30565	7.2
151	Rob Roy	1995	5253	6.6
152	Basic Instinct 2	2006	28208	5.0
153	Batman Forever	1995	47498	5.8
158	Casper	1995	20672	6.0
160	Congo	1995	7008	5.2
161	Crimson Tide	1995	11550	7.0
163	Desperado	1995	23821	7.0
165	Die Hard: With a Vengeance	1995	61394	7.2
168	First Knight	1995	13290	6.0
169	Free Willy 2: The Adventure Home	1995	8336	5.6
170	Hackers	1995	16863	6.4
172	Johnny Mnemonic	1995	7062	5.0
173	Judge Dredd	1995	10571	5.0
175	Kids	1995	11282	7.0
180	Mallrats	1995	40221	7.2
181	Mighty Morphin Power Rangers: The Movie	1995	5904	5.4
185	The Net	1995	10933	5.6
186	Nine Months	1995	8930	5.4
188	The Prophecy	1995	5062	6.6
193	Showgirls	1995	7443	4.6
195	Something to Talk About	1995	6137	6.0
196	Species	1995	6716	5.4
198	Strange Days	1995	7016	6.6
203	To Wong Foo Thanks for Everything, Julie Newmar	1995	6833	6.2
204	Under Siege 2: Dark Territory	1995	5213	5.2
207	A Walk in the Clouds	1995	12692	6.6
208	Waterworld	1995	18023	5.2
215	Before Sunrise	1995	20616	8.2
216	Billy Madison	1995	91595	7.0
223	Clerks.	1994	57642	7.6
224	Don Juan DeMarco	1994	14169	6.6
231	Dumb & Dumber	1994	95871	6.6
235	Ed Wood	1994	28216	7.4
236	French Kiss	1995	11010	6.4
239	A Goofy Movie	1995	17024	6.2
243	Flash Gordon	1980	6492	6.2
247	Heavenly Creatures	1994	8208	7.4
251	The Hunted	2003	5362	6.0
253	Interview with the Vampire: The Vampire Chronicles	1994	77706	7.4
256	Junior	1994	9754	4.8
260	Star Wars	1977	147448	8.2
262	A Little Princess	1995	13643	6.8
265	Como agua para chocolate	1992	5713	7.8
267	Major Payne	1995	8555	5.8
273	Frankenstein	1931	7211	7.2
274	Man of the House	2005	10877	6.2
277	Miracle on 34th Street	1947	5409	7.0
282	Nell	1994	5373	6.2
288	Natural Born Killers	1994	39062	7.0
292	Outbreak	1995	10732	6.2
296	Pulp Fiction	1994	249269	8.4
297	The Pink Panther 2	2009	77879	6.2
300	Quiz Show	1994	5428	7.0
303	The Quick and the Dead	1995	12178	6.2
306	Trois couleurs: Rouge	1994	9557	8.4
307	Trois couleurs: Bleu	1993	11731	8.4
308	Trzy kolory: Bialy	1994	5105	7.8
313	The Swan Princess	1994	5951	6.2
316	Stargate	1994	23611	6.6
318	The Shawshank Redemption	1994	168839	8.8
319	Shallow Grave	1994	9041	7.2
327	Tank Girl	1995	7013	5.6
329	Star Trek: Generations	1994	15342	6.6
333	Tommy Boy	1995	34476	7.2
337	What's Eating Gilbert Grape	1993	57512	7.4
339	While You Were Sleeping	1995	25923	6.4
342	Muriel's Wedding	1994	8356	6.8
344	Ace Ventura: Pet Detective	1994	163811	6.2
345	The Adventures of Priscilla, Queen of the Desert	1994	8695	7.4
349	Clear and Present Danger	1994	11095	6.6
350	The Client	1994	7408	6.6
353	The Crow	1994	64467	7.6
355	The Flintstones	1994	11823	5.0
356	Forrest Gump	1994	205253	8.2
357	Four Weddings and a Funeral	1994	21524	6.4
361	It Could Happen to You	1994	6180	6.0
362	The Jungle Book	1967	35715	7.0
364	The Lion King	1994	127550	7.8
366	New Nightmare	1994	11902	6.4
367	The Mask	1994	68419	6.4
368	Maverick	1994	11507	6.4
370	Naked Gun 33 1/3: The Final Insult	1994	10482	5.8
372	Reality Bites	1994	10533	6.6
376	The River Wild	1994	5610	5.8
